GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
test_log,sejour.elements,Trajet.ModeTrajet,0,27,0,0,0,1,0,1,0,1
test_log,sejour.elements,Activite,6,67,1,6,1,26,1,16,0,11
test_log,sejour.elements,CritereHotel.PrioriteHotel,0,15,0,0,0,1,0,1,0,1
test_log,sejour.elements,CritereTrajet.PrioriteTrajet,0,15,0,0,0,1,0,1,0,1
test_log,sejour.elements,CritereTrajet,0,15,0,0,0,6,0,3,0,3
test_log,sejour.elements,Trajet,14,89,0,5,1,33,1,19,1,15
test_log,sejour.elements,Activite.Categorie,0,39,0,0,0,1,0,1,0,1
test_log,sejour.elements,Coordonnes,0,15,0,0,0,6,0,3,0,3
test_log,sejour.elements,CritereHotel,6,15,0,0,1,6,1,3,1,3
test_log,sejour.elements,Forfait,0,31,0,0,0,13,0,9,0,9
test_log,sejour.elements,CritereActivite,0,15,0,0,0,6,0,3,0,3
test_log,sejour.elements,Hotel,0,56,1,3,0,21,1,11,0,10
test_log,sejour.elements,CritereForfait,0,27,0,0,0,10,0,5,0,5
test_log,sejour.ui,SejourUI,576,0,2,0,103,0,9,0,8,0
test_log,sejour.ui,DateLabelFormatter,31,0,2,0,8,0,4,0,3,0
test_log,sejour,GeoUtils,6,168,1,7,1,38,1,7,0,4
test_log,sejour,DataHandler,3,334,0,14,2,76,0,16,0,9
test_log,sejour,SearchHandler,36,566,5,57,6,128,7,39,2,13
